Date,sentiment_label,sentiment_score,Net Sentiment Score
2020-05-08,"{'Positive': 1, 'Negative': 1}",0.9810758233070374,0.0
2020-05-11,"{'Positive': 2, 'Negative': 1, 'Neutral': 1}",0.9850694090127945,0.25
2020-05-12,"{'Negative': 1, 'Neutral': 1}",0.8918329477310181,-0.5
2020-05-13,"{'Neutral': 3, 'Positive': 1}",0.9998207092285156,0.25
2020-05-14,"{'Neutral': 7, 'Positive': 6}",0.9315816576664264,0.46153846153846156
2020-05-15,"{'Neutral': 2, 'Positive': 1}",0.9991999665896097,0.3333333333333333
2020-05-18,{'Positive': 3},0.854546308517456,1.0
2020-05-20,"{'Neutral': 4, 'Positive': 2}",0.9880459705988566,0.3333333333333333
2020-05-21,"{'Positive': 6, 'Neutral': 3, 'Negative': 2}",0.9852001070976257,0.36363636363636365
2020-05-22,"{'Positive': 2, 'Neutral': 2}",0.9890835583209991,0.5
2020-05-26,"{'Neutral': 3, 'Positive': 1}",0.963028758764267,0.25
2020-05-27,"{'Positive': 3, 'Negative': 2}",0.9396922707557678,0.2
2020-05-28,{'Positive': 1},0.9999983310699464,1.0
2020-05-29,{'Positive': 3},0.8245668808619181,1.0
2020-05-31,{'Neutral': 1},0.9999914169311525,0.0
2020-06-01,{'Neutral': 2},0.9879114925861359,0.0
2020-06-02,{'Positive': 1},0.6847016215324402,1.0
2020-06-03,"{'Positive': 3, 'Negative': 1, 'Neutral': 1}",0.9800574660301209,0.4
2020-06-04,"{'Neutral': 2, 'Positive': 1}",0.9907721877098083,0.3333333333333333
2020-06-05,{'Neutral': 1},0.9999990463256836,0.0
2020-06-08,{'Positive': 1},1.0,1.0
2020-06-09,{'Negative': 1},0.9972412586212158,-1.0
2020-06-10,"{'Positive': 2, 'Neutral': 1}",0.9900041023890177,0.6666666666666666
2020-06-11,"{'Positive': 3, 'Negative': 1}",0.7815825641155243,0.5
2020-06-12,{'Positive': 1},0.9999432563781738,1.0
2020-06-15,"{'Neutral': 2, 'Positive': 1}",0.996387263139089,0.3333333333333333
2020-06-16,"{'Positive': 2, 'Negative': 1, 'Neutral': 1}",0.964407354593277,0.25
2020-06-17,"{'Negative': 2, 'Positive': 2, 'Neutral': 1}",0.9247904539108276,0.0
2020-06-18,"{'Positive': 2, 'Neutral': 1}",0.800007184346517,0.6666666666666666
2020-06-19,{'Neutral': 1},0.9547461867332458,0.0
2020-06-22,"{'Negative': 3, 'Neutral': 2, 'Positive': 2}",0.91392434494836,-0.14285714285714285
2020-06-23,"{'Positive': 2, 'Neutral': 2}",0.9826473742723465,0.5
2020-06-24,"{'Positive': 2, 'Negative': 1}",0.8366916179656982,0.3333333333333333
2020-06-25,"{'Positive': 1, 'Neutral': 1}",0.9992825388908386,0.5
2020-06-26,{'Neutral': 1},0.9522196054458618,0.0
2020-06-29,{'Neutral': 1},0.9997453093528748,0.0
2020-06-30,{'Positive': 2},0.999991774559021,1.0
2020-07-01,"{'Neutral': 2, 'Positive': 1}",0.8369434674580892,0.3333333333333333
2020-07-02,{'Positive': 3},0.9301849007606506,1.0
2020-07-06,"{'Neutral': 2, 'Positive': 1}",0.8038168946901957,0.3333333333333333
2020-07-07,{'Neutral': 1},0.9999760389328004,0.0
2020-07-08,"{'Neutral': 3, 'Positive': 1}",0.8240921050310135,0.25
2020-07-09,{'Negative': 1},0.9999980926513672,-1.0
2020-07-10,"{'Positive': 2, 'Neutral': 1}",0.9366903901100159,0.6666666666666666
2020-07-13,{'Neutral': 2},0.9831029772758484,0.0
