date,sentiment_label,sentiment_score
2021-12-30,Neutral,0.9929112195968628
2022-01-01,Neutral,0.6729083061218262
2022-01-02,Neutral,0.999996542930603
2022-01-03,Positive,0.9986093895775932
2022-01-04,Positive,0.9616116682688395
2022-01-05,Neutral,0.9990513920783997
2022-01-06,Negative,0.9014572620391845
2022-01-07,Negative,0.9734728634357452
2022-01-08,Positive,0.999981164932251
2022-01-10,Neutral,0.99990447362264
2022-01-11,Positive,0.9999591708183289
2022-01-12,Neutral,0.999947488307953
2022-01-13,Neutral,0.9569935003916422
2022-01-14,Neutral,0.9872875511646271
2022-01-15,Positive,0.9915726184844972
2022-01-17,Positive,0.861395388841629
2022-01-18,Negative,0.9996008078257245
2022-01-19,Neutral,0.8772176325321197
2022-01-20,Positive,0.996806800365448
2022-01-21,Positive,0.9912627458572387
2022-01-24,Negative,0.9111235499382019
2022-01-25,Positive,0.9467086791992188
2022-01-26,Negative,0.9063845674196879
2022-01-27,Positive,0.9984775900840759
2022-01-28,Neutral,0.9999949932098388
2022-01-29,Neutral,0.9999964237213136
2022-01-31,Neutral,0.9992237091064454
2022-02-01,Neutral,0.864303449789683
2022-02-02,Positive,0.9783914685249329
2022-02-03,Positive,0.9799883216619492
2022-02-04,Negative,0.9479503830273946
2022-02-05,Neutral,0.9999797344207764
2022-02-06,Neutral,0.9999947547912598
2022-02-07,Positive,0.9998780488967896
2022-02-08,Neutral,0.9863071739673615
2022-02-09,Positive,0.8602756559848785
2022-02-11,Neutral,0.9563760757446289
2022-02-14,Neutral,0.9426816701889038
2022-02-15,Neutral,0.9532590640915765
2022-02-16,Neutral,0.9949528702667781
2022-02-17,Negative,0.9509941786527634
2022-02-18,Positive,0.957953616976738
2022-02-21,Neutral,0.9897514283657074
2022-02-22,Neutral,0.9955977439880371
2022-02-23,Neutral,0.9877322167158127
2022-02-24,Neutral,0.9057654539744059
2022-02-25,Negative,0.9586608529090881
2022-02-28,Neutral,0.9802201787630717
2022-03-01,Neutral,0.9434427171945572
2022-03-02,Neutral,0.9965803027153016
2022-03-03,Negative,0.9999760389328003
2022-03-04,Positive,0.9999637603759766
2022-03-05,Positive,0.9999997615814208
2022-03-07,Neutral,0.9938257336616516
2022-03-08,Neutral,0.9996621608734132
2022-03-10,Positive,0.871683398882548
2022-03-11,Neutral,0.9426457484563192
2022-03-14,Negative,0.9999990463256836
2022-03-15,Positive,0.8887840708096822
2022-03-16,Neutral,0.9163311918576559
2022-03-17,Positive,0.8790744543075562
2022-03-18,Positive,0.9753352701663972
2022-03-19,Neutral,0.9999278783798218
2022-03-21,Neutral,0.9992178281148275
2022-03-22,Neutral,0.8914050845538869
2022-03-23,Neutral,0.9546415309111277
2022-03-24,Neutral,0.976466178894043
2022-03-25,Neutral,0.9131429195404053
2022-03-27,Neutral,0.9999879598617554
2022-03-28,Positive,0.999978264172872
2022-03-29,Positive,0.8666320528302874
2022-03-30,Neutral,0.9974465668201447
2022-03-31,Positive,0.9977033138275146
2022-04-01,Neutral,0.9313428501288096
2022-04-02,Neutral,0.8533973693847656
2022-04-03,Neutral,0.999327540397644
2022-04-04,Positive,0.8404791206121445
2022-04-05,Neutral,0.9299985965092977
2022-04-06,Neutral,0.9987915356953939
2022-04-07,Neutral,0.9993313997983932
2022-04-08,Neutral,0.8844771186510721
2022-04-10,Neutral,0.6198118925094604
2022-04-11,Negative,0.9504474080525912
2022-04-12,Neutral,0.996726373831431
2022-04-13,Positive,0.8778608590364456
2022-04-14,Negative,0.9985233743985494
2022-04-18,Positive,0.9153018742799759
2022-04-19,Neutral,0.9068502386411031
2022-04-20,Neutral,0.9132513284683228
2022-04-21,Neutral,0.9697317034006119
2022-04-22,Neutral,0.8995497584342956
2022-04-25,Negative,0.9888524115085602
2022-04-26,Positive,0.9685049255688986
2022-04-27,Positive,0.8500872055689493
2022-04-29,Positive,0.9994870126247406
2022-05-01,Neutral,0.9714630544185638
2022-05-02,Neutral,0.9733700752258301
2022-05-03,Neutral,0.9999002814292908
2022-05-04,Positive,0.9225613474845886
2022-05-06,Neutral,0.9988694489002228
2022-05-07,Positive,0.8046991229057312
2022-05-09,Neutral,0.999972403049469
2022-05-10,Positive,0.9994595646858216
2022-05-11,Neutral,0.910182257493337
2022-05-12,Neutral,0.9148450195789337
2022-05-13,Neutral,0.9994997978210449
2022-05-14,Neutral,0.9916254580020905
2022-05-15,Negative,0.9999873638153076
2022-05-17,Neutral,0.9046812176704406
2022-05-18,Neutral,0.9956513047218324
2022-05-19,Neutral,0.9837946395079294
